hgnc_symbol,Coefficient_of_stage,H2O2_vs_CTRL.log2FoldChange,H2O2PRG4_vs_H2O2.log2FoldChange
PURG,-0.772585009,-2.8576396107547,3.34019678738353
TLR3,-0.843297645,-0.868224435800247,2.6295347687857
SYT10,-0.946413359,-2.26623546245302,2.2757746800967
NPL,-0.777608285,-1.55427443052492,2.19836384884191
NCAM2,-0.90732185,-3.43000048363127,1.96805799695523
DLGAP5,-0.8426011,-1.50193312941023,1.84376793329172
FAM83D,-0.874210683,-1.18398395013643,1.67237765478579
SGO2,-0.871796966,-1.64930451460115,1.62545073031989
NEK2,-0.846592871,-0.581007765861446,1.48192781060094
BUB1B,-0.820071348,-1.22522962882656,1.36197501541699
IFI44L,-0.819776134,-1.18288210717801,1.34490589042432
HELB,-0.79600775,-1.06347475510944,1.29174932502646
KIF20B,-0.827351617,-1.02253601986511,1.29116361372271
MCOLN2,-0.929379795,-0.717253278536988,1.28886492360846
RAPGEF5,-0.831521955,-0.728263114400236,1.21855475941197
FAM161A,-0.986063647,-0.754172837548166,1.21461061349219
STON2,-0.963517848,-0.56466383608964,1.18526688510427
AR,-0.80337519,-0.863056093347193,1.13258129476596
PLD1,-0.832447933,-0.793168516910702,1.12331907254563
DEPDC1,-0.780094587,-0.586316741940337,1.10752063576065
CCNB1,-0.794364628,-0.928892231807334,1.07607300040963
AURKA,-0.775524782,-0.896204650343695,1.03771619689399
NUF2,-0.780794488,-0.664263432019765,1.03243609998322
CEP128,-1.03417564,-0.799692234150253,1.02794889727443
ZFAND4,-0.780708068,-0.900130673088109,1.016049621519
PSMA1,-0.878572816,-0.708195929391418,1.01444194896984
ASPM,-0.776618183,-0.966866252653982,1.01224843228582
CENPU,-0.780211897,-0.520104543981346,0.998455869574108
BORA,-0.828477477,-0.850014889625812,0.993157726925687
CENPK,-0.780817667,-0.776401245866347,0.971696624591368
CEP152,-0.82465205,-0.977985256111375,0.955386655216535
AGFG2,-0.821537822,-0.935807589421656,0.951752520778715
CEP57L1,-0.789628217,-0.858745341415654,0.923443265017667
CEP162,-1.062930771,-0.873253623660998,0.923374305340637
DZANK1,-0.839769253,-0.81555599013684,0.915494581602854
EPB41L4B,-0.938139757,-0.770732792529744,0.891246387876351
TIGD2,-0.829998626,-0.633555266818682,0.882459800697049
CKAP2,-0.795941139,-0.831553727305117,0.880945147885509
ST6GALNAC5,-0.872411222,-0.707278733524559,0.855986200916294
ZNF273,-0.816347559,-0.971256256020908,0.846129543077837
LCA5,-0.79056789,-0.503524007088222,0.837449984330905
NUDT12,-0.919893781,-0.52846259066071,0.816641011263181
KIAA0895,-0.777785487,-0.928315302026088,0.814300969947524
GXYLT2,-0.824147484,-0.657139797605266,0.80321814050335
ZNF396,-0.778110676,-0.913580855856569,0.802531525504616
IKZF2,-0.879484351,-1.34065042303081,0.787054429417995
BHLHE41,-0.825230106,-2.01767469447094,0.7850180949388
BRINP1,-1.023773528,-1.08759949823975,0.784966353048985
TMCC3,-0.825340042,-0.520712814412905,0.783200665512756
SCLT1,-0.775906696,-0.54781855037098,0.776974105513027
AKAP7,-0.794516286,-0.761910700692925,0.776764332482113
GJA1,-1.139416797,-0.534146870595391,0.763265273883647
TXNIP,-0.781845859,-2.43360514434219,0.75099061145505
MAP3K8,-0.96728019,-0.741148603887528,0.745354937473409
CENPJ,-0.824257145,-0.637699631482717,0.740744490540082
RPP40,-0.915076733,-0.669418203976457,0.727806522876742
GDAP1,-0.872426531,-0.594459048631023,0.725560802778523
INTS7,-0.901293498,-0.508985793576098,0.710407672666166
NBN,-0.828634401,-0.547753576567437,0.706314091255428
HMCN1,-0.810691688,-0.521710038409916,0.705878545504818
FAM13A,-0.859247733,-0.883146103581147,0.700125603187595
CEP97,-0.959887455,-0.643133134231179,0.695878746546115
PLEKHA5,-0.895083305,-0.835012421363543,0.69025565725565
COQ2,-0.893502638,-0.550537552746464,0.681004591739344
GBP1,-0.785281631,-0.599150280088693,0.67650606969661
DMRTA1,-1.019344507,-0.752021732041821,0.674942928224468
RBM43,-0.807671427,-1.14112906662585,0.674343309946596
PCDH18,-0.856818906,-1.56345768720489,0.673333746428752
ENPP5,-0.888423655,-0.649698065594786,0.670296403660425
PAG1,-0.8847351,-1.37145876901332,0.667137896975175
HSF2,-1.139416797,-0.501560522367557,0.658898228349712
ZNF658,-0.850845491,-0.743097528396176,0.65001594782563
CCDC138,-0.816101805,-0.812072513721722,0.646172831161418
ATR,-0.78366272,-0.549857021920896,0.639422448744584
MIS18BP1,-0.821081672,-0.521655340932345,0.638204679243701
KCTD12,-1.03870013,-0.689530590213108,0.629037469950652
LMNB1,-0.770525196,-0.700055356583365,0.6276503255832
USF3,-0.783746559,-0.643216586456299,0.619172281373947
SSX2IP,-0.91075608,-0.856311740691342,0.609561116033956
MDM1,-0.858730015,-0.62301449256016,0.608435054034009
LIN54,-0.84803556,-0.581369645795882,0.606424197726915
OSBPL11,-0.904657526,-0.527281715039085,0.605516047701746
ZFP1,-0.835093227,-0.631301118527643,0.600755863949354
RFC3,-0.933150925,-0.644365567060038,0.597053807345122
MACROD2,-1.008243828,-0.821926935001482,0.589836066665166
GIN1,-0.837935982,-0.819327295800758,0.589445830040627
ZRSR2,-0.820809174,-0.735390539375397,0.586937239796076
SLF2,-0.783288859,-0.564233920165774,0.586583242300628
ZFP36L2,-0.787062182,-0.602346818166553,0.585744229044809
ZHX1-C8orf76,-0.788917005,-0.909940483860803,0.578576563765832
STAT1,-0.772036799,-0.569176572784538,0.574086700067872
NRDE2,-0.785100134,-0.788547453384779,0.569788300176949
C1QTNF3-AMACR,-0.89792817,-0.893715764190241,0.567993159519198
ST3GAL6,-0.907900464,-0.741400341450386,0.553292634279791
SLF1,-0.781587264,-0.794560981261656,0.544040090487754
EXPH5,-0.860227053,-0.740100404487375,0.54366643250705
RINT1,-0.880730218,-0.626134929028529,0.535049246656051
KDM3A,-0.775729854,-0.890744072359094,0.522976869909629
TRAPPC11,-0.987183027,-0.500015173996551,0.521661339733872
PMS1,-0.789268592,-0.63736171188608,0.520106009500431
NFIA,-0.92809299,-0.502495473603344,0.516970922880624
RNF20,-0.773533128,-0.747507941186767,0.516755802859022
NCOA2,-0.871480922,-0.662270921648355,0.513633875205627
SESTD1,-0.853239314,-0.563001766657916,0.50975868789955
